time,value,key
1996,4081801,Subsistence
1997,4044958,Subsistence
1998,4025919,Subsistence
1999,4057334,Subsistence
2000,4094731,Subsistence
2001,3955601,Subsistence
2002,3879482,Subsistence
2003,3865552,Subsistence
2004,3808617,Subsistence
2005,3718690,Subsistence
2006,3792749,Subsistence
2007,3623797,Subsistence
2008,3629819,Subsistence
2009,3630156,Subsistence
2010,3627383,Subsistence
